Time [s],Pressure V1-P2 [ADC],Pressure V1-P1-Ins [ADC],Pressure V1-P1-Exp [ADC], Pressure V2-P2 [ADC],Pressure V2-P1-Ins [ADC], Pressure V2-P1-Exp [ADC]
2.064,5184,1638,5186,5380,5391,1638
2.074,5156,1638,5158,5363,5374,1638
2.084,5157,1638,5159,5386,5397,1638
2.094,5201,1638,5203,5395,5406,1638
2.104,5202,1638,5204,5362,5373,1638
2.114,5182,1638,5184,5369,5379,1638
2.124,5142,1638,5144,5327,5337,1638
2.134,5125,1638,5128,5296,5306,1638
2.144,5124,1638,5126,5292,5302,1638
2.154,5090,1638,5093,5251,5262,1638
2.164,5147,1638,5148,5357,5368,1638
2.174,5137,1638,5138,5333,5345,1638
2.184,5082,1638,5083,5264,5276,1638
2.194,5087,1638,5088,5332,5345,1638
2.204,5090,1638,5091,5325,5338,1638
2.214,5134,5134,1638,5343,5356,1638
2.224,5129,1638,5129,5336,5349,1638
2.234,5131,1638,5131,5326,5339,1638
2.244,5154,1638,5154,5365,5378,1638
2.254,5157,1638,5159,5388,5401,1638
2.264,5185,1638,5187,5392,5406,1638
2.274,5160,1638,5161,5356,5370,1638
2.284,5161,1638,5162,5386,5399,1638
2.294,5218,1638,5218,5438,5451,1638
2.304,5268,1638,5269,5461,5474,1638
2.314,5242,1638,5243,5449,5461,1638
2.324,5191,1638,5193,5426,5438,1638
2.334,5237,1638,5239,5452,5464,1638
2.344,5265,1638,5266,5419,5430,1638
2.354,5221,1638,5222,5374,5386,1638
2.364,5166,1638,5167,5402,5414,1638
2.374,5157,1638,5158,5416,5428,1638
2.384,5157,1638,5158,5368,5380,1638
2.394,5075,1638,5077,5322,5335,1638
2.404,5074,1638,5075,5366,5379,1638
2.414,5170,1638,5170,5378,5390,1638
2.424,5159,1638,5159,5344,5356,1638
2.434,5094,1638,5094,5321,5335,1638
2.444,5090,1638,5091,5294,5308,1638
2.454,5089,5089,1638,5314,5328,1638
2.464,5070,5070,1638,5331,5347,1638
2.474,5015,5015,1638,5298,5314,1638
2.484,4982,4982,1638,5286,5301,1638
2.494,5036,5036,1638,5282,5299,1638
2.504,5049,5049,1638,5253,5272,1638
2.514,4976,4976,1638,5205,5225,1638
2.524,4885,4885,1638,5136,5156,1638
2.534,4757,4757,1638,5082,5104,1638
2.544,4726,4726,1638,5028,5053,1638
2.554,4658,4659,1638,4898,4924,1638
2.564,4486,4487,1638,4721,4751,1638
2.574,4403,4406,1638,4597,4631,1638
2.584,4246,4250,1638,4538,4577,1638
2.594,4144,4152,1638,4449,4493,1638
2.604,4178,4186,1638,4403,4450,1638
2.614,4053,4064,1638,4371,4424,1638
2.624,3987,4002,1638,4279,4335,1638
2.634,4026,4043,1638,4247,4305,1638
2.644,3894,3913,1638,4232,4295,1638
2.654,3827,3847,1638,4185,4250,1638
2.664,3836,3858,1638,4172,4239,1638
2.674,3818,3843,1638,4131,4200,1638
2.684,3846,3872,1638,4119,4188,1638
2.694,3713,3740,1638,4174,4249,1638
2.704,3661,3689,1638,4181,4258,1638
2.714,3865,3894,1638,4213,4289,1638
2.724,3920,3949,1638,4244,4322,1638
2.734,3842,3873,1638,4211,4290,1638
2.744,3853,3884,1638,4222,4303,1638
2.754,3871,3900,1638,4243,4325,1638
2.764,3926,3954,1638,4272,4352,1638
2.774,3952,3982,1638,4272,4354,1638
2.784,3996,4028,1638,4246,4331,1638
2.794,4089,4121,1638,4308,4394,1638
2.804,4049,4081,1638,4385,4470,1638
2.814,3985,4017,1638,4386,4472,1638
2.824,4020,4053,1638,4423,4511,1638
2.834,4064,4097,1638,4465,4552,1638
2.844,4017,4049,1638,4429,4516,1638
2.854,4003,4036,1638,4433,4521,1638
2.864,4150,4182,1638,4519,4609,1638
2.874,4270,4303,1638,4576,4666,1638
2.884,4217,4251,1638,4545,4633,1638
2.894,4134,4165,1638,4486,4575,1638
2.904,4183,4214,1638,4563,4654,1638
2.914,4292,4323,1638,4652,4742,1638
2.924,4251,4280,1638,4620,4709,1638
2.934,4159,4189,1638,4585,4675,1638
2.944,4226,4256,1638,4551,4639,1638
2.954,4243,4273,1638,4585,4674,1638
2.964,4264,4295,1638,4615,4704,1638
2.974,4241,4272,1638,4587,4677,1638
2.984,4171,4202,1638,4615,4707,1638
2.994,4264,4294,1638,4593,4685,1638
3.004,4220,4250,1638,4570,4662,1638
3.014,4171,4204,1638,4593,4685,1638
3.024,4147,4181,1638,4555,4647,1638
3.034,4064,4098,1638,4589,4681,1638
3.044,4187,4221,1638,4677,4768,1638
3.054,4211,4243,1638,4604,4695,1638
3.064,4089,4122,1638,4561,4652,1638
3.074,4152,4184,1638,4633,4723,1638
3.084,4242,4272,1638,4633,4722,1638
3.094,4271,4302,1638,4641,4731,1638
3.104,4306,4336,1638,4675,4765,1638
3.114,4278,4308,1638,4646,4736,1638
3.124,4335,4367,1638,4715,4805,1638
3.134,4368,4399,1638,4828,4918,1638
3.144,4288,4318,1638,4834,4924,1638
3.154,4386,4416,1638,4798,4887,1638
3.164,4477,4507,1638,4746,4836,1638
3.174,4372,4403,1638,4722,4812,1638
3.184,4353,4384,1638,4739,4829,1638
3.194,4328,4358,1638,4686,4775,1638
3.204,4300,4331,1638,4692,4781,1638
3.214,4357,4388,1638,4738,4827,1638
3.224,4360,4389,1638,4691,4781,1638
3.234,4404,4434,1638,4688,4778,1638
3.244,4409,4440,1638,4673,4763,1638
3.254,4315,4346,1638,4634,4725,1638
3.264,4307,4338,1638,4709,4800,1638
3.274,4355,4385,1638,4714,4805,1638
3.284,4351,4383,1638,4638,4730,1638
3.294,4355,4386,1638,4691,4783,1638
3.304,4371,4402,1638,4742,4834,1638
3.314,4330,4361,1638,4726,4816,1638
3.324,4340,4370,1638,4712,4802,1638
3.334,4388,4415,1638,4730,4820,1638
3.344,4397,4426,1638,4748,4838,1638
3.354,4453,4483,1638,4751,4841,1638
3.364,4497,4527,1638,4833,4922,1638
3.374,4448,4478,1638,4809,4897,1638
3.384,4379,4409,1638,4718,4807,1638
3.394,4346,4376,1638,4721,4811,1638
3.404,4370,4400,1638,4739,4828,1638
3.414,4394,4423,1638,4778,4864,1638
3.424,4366,4395,1638,4783,4869,1638
3.434,4370,4398,1638,4757,4846,1638
3.444,4419,4447,1638,4767,4854,1638
3.454,4478,4507,1638,4813,4900,1638
3.464,4475,4503,1638,4821,4908,1638
3.474,4393,4419,1638,4767,4854,1638
3.484,4350,4377,1638,4755,4842,1638
3.494,4240,4267,1638,4679,4766,1638
3.504,4201,4229,1638,4619,4708,1638
3.514,4296,4326,1638,4673,4762,1638
3.524,4275,4306,1638,4696,4785,1638
3.534,4280,4310,1638,4720,4811,1638
3.544,4384,4413,1638,4739,4828,1638
3.554,4392,4422,1638,4712,4799,1638
3.564,4327,4356,1638,4719,4807,1638
3.574,4296,4325,1638,4735,4822,1638
3.584,4284,4314,1638,4694,4782,1638
3.594,4298,4328,1638,4665,4753,1638
3.604,4357,4387,1638,4702,4789,1638
3.614,4362,4392,1638,4721,4808,1638
3.624,4311,4340,1638,4712,4799,1638
3.634,4227,4255,1638,4701,4788,1638
3.644,4198,4225,1638,4699,4785,1638
3.654,4256,4285,1638,4714,4801,1638
3.664,4282,4311,1638,4726,4815,1638
3.674,4354,4382,1638,4728,4816,1638
3.684,4321,4349,1638,4690,4777,1638
3.694,4317,4343,1638,4684,4769,1638
3.704,4458,4484,1638,4730,4815,1638
3.714,4395,4423,1638,4745,4829,1638
3.724,4376,4404,1638,4819,4903,1638
3.734,4401,4427,1638,4867,4950,1638
3.744,4351,4377,1638,4832,4915,1638
3.754,4388,4413,1638,4780,4863,1638
3.764,4351,4378,1638,4761,4844,1638
3.774,4275,4301,1638,4806,4889,1638
3.784,4311,4338,1638,4770,4853,1638
3.794,4296,4324,1638,4680,4763,1638
3.804,4226,4253,1638,4667,4751,1638
3.814,4235,4263,1638,4670,4755,1638
3.824,4287,4316,1638,4666,4751,1638
3.834,4298,4326,1638,4647,4733,1638
3.844,4209,4237,1638,4589,4675,1638
3.854,4131,4160,1638,4545,4631,1638
3.864,4157,4188,1638,4530,4616,1638
3.874,4214,4245,1638,4532,4619,1638
3.884,4263,4295,1638,4590,4680,1638
3.894,4261,4294,1638,4605,4695,1638
3.904,4231,4262,1638,4546,4635,1638
3.914,4253,4283,1638,4552,4642,1638
3.924,4225,4255,1638,4559,4648,1638
3.934,4250,4279,1638,4559,4649,1638
3.944,4325,4355,1638,4620,4710,1638
3.954,4238,4268,1638,4612,4701,1638
3.964,4250,4280,1638,4625,4714,1638
3.974,4330,4360,1638,4709,4798,1638
3.984,4332,4363,1638,4731,4819,1638
3.994,4390,4419,1638,4716,4804,1638
4.004,4388,4417,1638,4721,4809,1638
4.014,4341,4371,1638,4716,4805,1638
4.024,4433,4461,1638,4749,4836,1638
4.034,4506,4533,1638,4818,4904,1638
4.044,4479,4506,1638,4840,4925,1638
4.054,4545,4572,1638,4865,4950,1638
4.064,4640,4665,1638,4936,5020,1638
4.074,4602,4627,1638,4965,5047,1638
4.084,4577,4600,1638,4987,5067,1638
4.094,4690,4711,1638,5070,5148,1638
4.104,4817,4837,1638,5152,5229,1638
4.114,4875,4893,1638,5194,5270,1638
4.124,4863,4880,1638,5242,5317,1638
4.134,4875,4889,1638,5327,5400,1638
4.144,5055,5068,1638,5443,5513,1638
4.154,5202,5213,1638,5535,5601,1638
4.164,5198,5207,1638,5567,5630,1638
4.174,5242,5248,1638,5645,5704,1638
4.184,5356,5360,1638,5777,5832,1638
4.194,5446,5448,1638,5852,5903,1638
4.204,5525,1638,5525,5926,5974,1638
4.214,5602,1638,5602,5991,6036,1638
4.224,5696,1638,5696,6018,6059,1638
4.234,5774,5774,1638,6053,6091,1638
4.244,5778,5778,1638,6064,6099,1638
4.254,5725,5725,1638,6035,6068,1638
4.264,5683,5683,1638,6021,6052,1638
4.274,5719,5719,1638,6032,6060,1638
4.284,5727,5727,1638,6012,6040,1638
4.294,5639,5639,1638,5944,5972,1638
4.304,5603,5603,1638,5887,5912,1638
4.314,5637,5637,1638,5861,5886,1638
4.324,5625,5625,1638,5848,5873,1638
4.334,5558,5558,1638,5832,5855,1638
4.344,5539,5539,1638,5819,5841,1638
4.354,5559,5559,1638,5829,5850,1638
4.364,5560,1638,5560,5848,5868,1638
4.374,5571,1638,5571,5829,5847,1638
4.384,5572,1638,5572,5798,5816,1638
4.394,5531,1638,5531,5779,5796,1638
4.404,5527,1638,5528,5769,5785,1638
4.414,5541,1638,5544,5753,5769,1638
4.424,5506,1638,5508,5725,5740,1638
4.434,5475,1638,5477,5708,5720,1638
4.444,5490,1638,5493,5729,5740,1638
4.454,5518,1638,5521,5738,5749,1638
4.464,5477,1638,5480,5673,5684,1638
4.474,5400,1638,5404,5611,5622,1638
4.484,5398,1638,5401,5594,5604,1638
4.494,5405,1638,5408,5539,5549,1638
4.504,5369,1638,5371,5492,5503,1638
4.514,5315,1638,5317,5482,5492,1638
4.524,5269,1638,5272,5462,5472,1638
4.534,5279,1638,5283,5482,5491,1638
4.544,5270,1638,5274,5472,5481,1638
4.554,5211,1638,5215,5394,5404,1638
4.564,5242,1638,5245,5412,5421,1638
4.574,5257,1638,5261,5423,5433,1638
4.584,5235,1638,5238,5407,5417,1638
4.594,5246,1638,5248,5439,5449,1638
4.604,5258,1638,5260,5441,5452,1638
4.614,5287,1638,5290,5440,5450,1638
4.624,5243,1638,5246,5416,5427,1638
4.634,5152,1638,5154,5373,5383,1638
4.644,5149,1638,5151,5384,5394,1638
4.654,5178,1638,5181,5385,5396,1638
4.664,5191,1638,5194,5374,5386,1638
4.674,5217,1638,5220,5405,5416,1638
4.684,5236,1638,5239,5400,5411,1638
4.694,5206,1638,5209,5367,5378,1638
4.704,5167,1638,5169,5386,5397,1638
4.714,5179,1638,5181,5409,5420,1638
4.724,5214,1638,5217,5402,5413,1638
4.734,5204,1638,5207,5389,5400,1638
4.744,5188,1638,5190,5389,5400,1638
4.754,5179,1638,5181,5378,5389,1638
4.764,5157,1638,5159,5364,5374,1638
4.774,5157,1638,5159,5380,5391,1638
4.784,5177,1638,5179,5392,5403,1638
4.794,5185,1638,5187,5369,5380,1638
4.804,5201,1638,5204,5382,5392,1638
4.814,5209,1638,5212,5417,5427,1638
4.824,5192,1638,5194,5416,5426,1638
4.834,5188,1638,5191,5402,5412,1638
4.844,5191,1638,5194,5392,5403,1638
4.854,5186,1638,5188,5387,5398,1638
4.864,5192,1638,5194,5392,5402,1638
4.874,5168,1638,5170,5372,5383,1638
4.884,5168,1638,5170,5363,5374,1638
4.894,5171,1638,5173,5348,5360,1638
4.904,5144,1638,5146,5312,5323,1638
4.914,5188,1638,5190,5333,5343,1638
4.924,5240,1638,5241,5373,5383,1638
4.934,5238,1638,5240,5373,5384,1638
4.944,5225,1638,5228,5361,5373,1638
4.954,5222,1638,5225,5389,5400,1638
4.964,5224,1638,5228,5420,5431,1638
4.974,5201,1638,5204,5382,5393,1638
4.984,5198,1638,5200,5368,5379,1638
4.994,5221,1638,5223,5386,5397,1638
5.004,5208,1638,5210,5383,5394,1638
5.014,5170,1638,5171,5362,5373,1638
5.024,5157,1638,5159,5359,5369,1638
5.034,5174,1638,5176,5399,5409,1638
5.044,5178,1638,5180,5396,5406,1638
bad data,5129,1638,5131,5333,5343,1638
5.064,5144,1638,5146,5343,5354,1638
5.074,5170,1638,5172,5373,5385,1638
5.084,5169,1638,5170,5371,5382,1638
5.094,5226,1638,5227,5383,5394,1638
5.104,5216,1638,5218,5350,5361,1638
5.114,bad data,1638,5189,5334,5345,1638
5.124,5126,1638,5128,5345,5357,1638
5.134,5073,1638,5075,5324,5336,1638
5.144,5148,1638,5149,5325,5338,1638
5.154,5120,1638,5121,5322,5335,1638
5.164,5064,1638,5066,5331,5344,1638
5.174,5143,1638,5145,5363,5376,1638
5.184,5205,1638,5207,5388,5401,1638
5.194,5191,1638,5192,5387,5400,1638
5.204,5191,1638,5192,5392,5405,1638
5.214,5191,1638,5192,5394,5408,1638
5.224,5180,1638,5181,5363,5376,1638
5.234,5197,1638,5198,5389,5401,1638
5.244,5161,1638,5161,5401,5415,1638
5.254,5105,5105,1638,5367,5381,1638
5.264,5140,1638,5141,5384,5397,1638
5.274,5176,1638,5177,5389,5403,1638
5.284,5169,1638,5169,5391,5404,1638
5.294,5151,1638,5152,5371,5383,1638
5.304,5157,5157,1638,5355,5368,1638
5.314,5149,5149,1638,5354,5368,1638
5.324,5133,1638,5134,5359,5372,1638
5.334,5178,1638,5179,5389,5403,1638
5.344,5183,1638,5184,5352,5365,1638
5.354,5111,5111,1638,5315,5329,1638
5.364,5097,5097,1638,5325,5338,1638
5.374,5151,1638,5152,5357,5371,1638
5.384,5191,1638,5191,5392,5408,1638
5.394,5189,1638,5190,5364,5377,1638
5.404,5183,5183,1638,5371,5384,1638
5.414,5190,5190,1638,5385,5399,1638
5.424,5177,1638,5177,5395,5408,1638
5.434,5162,1638,5162,5414,5428,1638
5.444,5185,5185,1638,5371,5385,1638
5.454,5190,1638,5191,5350,5364,1638
5.464,5170,1638,5171,5389,5403,1638
5.474,5150,5150,1638,5418,5432,1638
5.484,5157,5157,1638,5415,5429,1638
5.494,5149,1638,5149,5381,5395,1638
5.504,5128,1638,5129,5363,5377,1638
5.514,5147,1638,5148,5385,5399,1638
5.524,5184,5184,1638,5379,5393,1638
5.534,5218,5218,1638,5343,5356,1638
5.544,5161,1638,5161,5371,5385,1638
5.554,5135,5135,1638,5381,5396,1638
5.564,5216,5216,1638,5361,5376,1638
5.574,5201,5201,1638,5404,5419,1638
5.584,5196,5196,1638,5422,5438,1638
5.594,5229,1638,5230,5423,5439,1638
5.604,5206,1638,5207,5410,5425,1638
5.614,5190,1638,5191,5391,5406,1638
5.624,5191,1638,5192,5392,5409,1638
5.634,5165,1638,5165,5337,5353,1638
5.644,5143,1638,5143,5332,5348,1638
5.654,5175,5175,1638,5369,5384,1638
5.664,5166,5166,1638,5384,5400,1638
5.674,5136,5136,1638,5352,5368,1638
5.684,5191,5191,1638,5325,5341,1638
5.694,5223,1638,5223,5380,5396,1638
5.704,5199,1638,5200,5391,5406,1638
5.714,5173,1638,5174,5389,5405,1638
5.724,5153,5153,1638,5374,5392,1638
5.734,5156,5156,1638,5365,5382,1638
5.744,5157,5157,1638,5417,5433,1638
5.754,5125,1638,5126,5396,5413,1638
5.764,5116,5116,1638,5381,5398,1638
5.774,5119,5119,1638,5398,5416,1638
5.784,5126,1638,5127,5440,5457,1638
5.794,5194,1638,5194,5443,5458,1638
5.804,5221,5221,1638,5398,5414,1638
5.814,5188,1638,5188,5440,5456,1638
5.824,5218,5218,1638,5460,5475,1638
5.834,5197,5197,1638,5452,5467,1638
5.844,5220,5220,1638,5453,5470,1638
5.854,5292,1638,5293,5459,5476,1638
5.864,5219,1638,5220,5457,5473,1638
5.874,5155,5155,1638,5420,5437,1638
5.884,5168,1638,5168,5452,5467,1638
5.894,5208,5208,1638,5418,5434,1638
5.904,5207,5207,1638,5404,5421,1638
5.914,5187,1638,5187,5461,5477,1638
5.924,5191,5191,1638,5426,5442,1638
5.934,5211,1638,5212,5444,5461,1638
5.944,5307,1638,5307,5493,5512,1638
5.954,5257,5257,1638,5451,5468,1638
5.964,5166,5166,1638,5412,5428,1638
5.974,5192,5192,1638,5427,5444,1638
5.984,5164,5164,1638,5426,5444,1638
5.994,5175,1638,5175,5392,5410,1638
6.004,5186,1638,5186,5388,5406,1638
6.014,5116,5116,1638,5381,5399,1638
6.024,5209,5209,1638,5404,5422,1638
6.034,5258,1638,5258,5451,5469,1638
6.044,5165,5165,1638,5426,5444,1638
6.054,5236,1638,5236,5414,5432,1638
6.064,5251,1638,5251,5454,5472,1638
6.074,5183,5183,1638,5416,5434,1638
6.084,5195,5195,1638,5395,5413,1638
6.094,5184,5184,1638,5421,5438,1638
6.104,5191,5191,1638,5395,5412,1638
6.114,5191,1638,5192,5385,5403,1638
6.124,5164,5164,1638,5406,5425,1638
6.134,5159,5159,1638,5437,5455,1638
6.144,5215,5215,1638,5446,5464,1638
6.154,5211,5211,1638,5418,5437,1638
6.164,5162,5162,1638,5426,5445,1638
6.174,5159,5159,1638,5427,5447,1638
6.184,5121,5121,1638,5396,5415,1638
6.194,5149,5149,1638,5384,5402,1638
6.204,5184,5184,1638,5388,5408,1638
6.214,5154,5154,1638,5395,5415,1638
6.224,5198,5198,1638,5426,5446,1638
6.234,5248,5248,1638,5427,5448,1638
6.244,5260,5260,1638,5413,5434,1638
6.254,5195,5195,1638,5446,5466,1638
6.264,5141,5141,1638,5437,5458,1638
6.274,5159,5159,1638,5428,5449,1638
6.284,5191,5191,1638,5490,5510,1638
6.294,5183,5183,1638,5461,5481,1638
6.304,5112,5112,1638,5395,5416,1638
6.314,5167,5167,1638,5410,5432,1638
6.324,5202,5202,1638,5407,5428,1638
6.334,5167,5167,1638,5397,5418,1638
6.344,5217,5217,1638,5426,5448,1638
6.354,5194,5194,1638,5422,5445,1638
6.364,5161,5161,1638,5402,5424,1638
6.374,5110,5110,1638,5357,5379,1638
6.384,5110,5110,1638,5386,5409,1638
6.394,5156,5156,1638,5421,5444,1638
6.404,5126,5126,1638,5395,5420,1638
6.414,5125,5125,1638,5397,5422,1638
6.424,5074,5074,1638,5320,5346,1638
6.434,5062,5062,1638,5311,5338,1638
6.444,5065,5065,1638,5354,5381,1638
6.454,5013,5013,1638,5314,5341,1638
6.464,5023,5023,1638,5325,5351,1638
6.474,5025,5025,1638,5326,5353,1638
6.484,5044,5044,1638,5317,5346,1638
6.494,5071,5071,1638,5341,5372,1638
6.504,5112,5112,1638,5357,5387,1638
6.514,5140,5141,1638,5345,5374,1638
6.524,5082,5083,1638,5317,5347,1638
6.534,5051,5051,1638,5292,5321,1638
6.544,5058,5058,1638,5283,5313,1638
6.554,5029,5029,1638,5306,5338,1638
6.564,5031,5031,1638,5310,5342,1638
6.574,5044,5044,1638,5272,5304,1638
6.584,4971,4972,1638,5215,5249,1638
6.594,4923,4923,1638,5196,5231,1638
6.604,4952,4953,1638,5246,5281,1638
6.614,4840,4842,1638,5163,5200,1638
6.624,4676,4677,1638,5015,5053,1638
6.634,4653,4656,1638,4987,5026,1638
6.644,4638,4642,1638,4979,5022,1638
6.654,4561,4566,1638,4927,4972,1638
6.664,4519,4525,1638,4863,4910,1638
6.674,4534,4540,1638,4848,4896,1638
6.684,4538,4546,1638,4835,4885,1638
6.694,4494,4503,1638,4809,4861,1638
6.704,4452,4463,1638,4771,4826,1638
6.714,4444,4457,1638,4693,4751,1638
6.724,4422,4434,1638,4669,4729,1638
6.734,4356,4369,1638,4617,4679,1638
6.744,4302,4316,1638,4557,4622,1638
6.754,4194,4211,1638,4515,4581,1638
6.764,4086,4105,1638,4415,4482,1638
6.774,4095,4114,1638,4385,4454,1638
6.784,4062,4082,1638,4406,4476,1638
6.794,3989,4011,1638,4370,4443,1638
6.804,3978,4001,1638,4341,4414,1638
6.814,3990,4014,1638,4361,4436,1638
6.824,4034,4059,1638,4394,4471,1638
6.834,4075,4101,1638,4419,4496,1638
6.844,4083,4109,1638,4444,4521,1638
6.854,4073,4099,1638,4452,4531,1638
6.864,4082,4108,1638,4485,4567,1638
6.874,4052,4079,1638,4493,4577,1638
6.884,4035,4063,1638,4443,4524,1638
6.894,4068,4097,1638,4413,4494,1638
6.904,4050,4078,1638,4393,4475,1638
6.914,4103,4133,1638,4404,4487,1638
6.924,4140,4169,1638,4461,4544,1638
6.934,4085,4115,1638,4484,4567,1638
6.944,4124,4155,1638,4493,4578,1638
6.954,4141,4171,1638,4523,4608,1638
6.964,4111,4140,1638,4538,4623,1638
6.974,4094,4123,1638,4510,4597,1638
6.984,4073,4101,1638,4457,4544,1638
6.994,4129,4159,1638,4479,4566,1638
7.004,4251,4284,1638,4533,4624,1638
7.014,4223,4256,1638,4444,4533,1638
7.024,4120,4155,1638,4366,4455,1638
7.034,4184,4218,1638,4427,4517,1638
7.044,4130,4164,1638,4420,4511,1638
7.054,4066,4100,1638,4430,4522,1638
7.064,4176,4209,1638,4532,4625,1638
7.074,4097,4130,1638,4485,4579,1638
7.084,4042,4077,1638,4414,4507,1638
7.094,4113,4148,1638,4422,4515,1638
7.104,4149,4183,1638,4431,4524,1638
7.114,4173,4207,1638,4478,4570,1638
7.124,4132,4167,1638,4510,4603,1638
7.134,4090,4125,1638,4501,4594,1638
7.144,4108,4143,1638,4537,4632,1638
7.154,4142,4177,1638,4576,4670,1638
7.164,4183,4217,1638,4582,4674,1638
7.174,4241,4275,1638,4574,4668,1638
7.184,4296,4331,1638,4577,4670,1638
7.194,4286,4320,1638,4622,4714,1638
7.204,4259,4293,1638,4633,4724,1638
7.214,4339,4371,1638,4614,4706,1638
7.224,4380,4413,1638,4644,4738,1638
7.234,4310,4345,1638,4653,4746,1638
7.244,4251,4285,1638,4631,4725,1638
7.254,4265,4297,1638,4647,4741,1638
7.264,4338,4372,1638,4648,4740,1638
7.274,4247,4281,1638,4622,4715,1638
7.284,4182,4215,1638,4618,4712,1638
7.294,4289,4322,1638,4646,4741,1638
7.304,4269,4304,1638,4638,4734,1638
7.314,4197,4234,1638,4561,4655,1638
7.324,4202,4239,1638,4541,4635,1638
7.334,4169,4205,1638,4552,4647,1638
7.344,4101,4137,1638,4549,4642,1638
7.354,4132,4168,1638,4568,4661,1638
7.364,4217,4252,1638,4586,4680,1638
7.374,4219,4253,1638,4608,4703,1638
7.384,4213,4248,1638,4639,4734,1638
7.394,4256,4291,1638,4659,4754,1638
7.404,4292,4328,1638,4667,4762,1638
7.414,4350,4385,1638,4671,4766,1638
7.424,4321,4355,1638,4617,4712,1638
7.434,4189,4223,1638,4561,4656,1638
7.444,4204,4237,1638,4641,4736,1638
7.454,4230,4263,1638,4680,4775,1638
7.464,4229,4264,1638,4661,4756,1638
7.474,4273,4307,1638,4689,4783,1638
7.484,4240,4272,1638,4676,4770,1638
7.494,4212,4245,1638,4651,4745,1638
7.504,4249,4282,1638,4663,4756,1638
7.514,4326,4360,1638,4696,4789,1638
7.524,4324,4358,1638,4702,4795,1638
7.534,4272,4305,1638,4682,4775,1638
7.544,4256,4289,1638,4687,4780,1638
7.554,4239,4271,1638,4695,4786,1638
7.564,4301,4332,1638,4710,4801,1638
7.574,4331,4361,1638,4722,4812,1638
7.584,4373,4402,1638,4736,4826,1638
7.594,4443,4471,1638,4754,4845,1638
7.604,4406,4433,1638,4767,4857,1638
7.614,4403,4430,1638,4774,4862,1638
7.624,4413,4440,1638,4746,4833,1638
7.634,4388,4414,1638,4732,4818,1638
7.644,4400,4427,1638,4756,4843,1638
7.654,4367,4397,1638,4743,4829,1638
7.664,4260,4290,1638,4678,4764,1638
7.674,4220,4249,1638,4620,4707,1638
7.684,4290,4318,1638,4640,4726,1638
7.694,4320,4348,1638,4706,4792,1638
7.704,4284,4312,1638,4717,4804,1638
7.714,4264,4293,1638,4676,4763,1638
7.724,4287,4316,1638,4651,4737,1638
7.734,4328,4356,1638,4635,4722,1638
7.744,4331,4360,1638,4649,4738,1638
